index,Brand,Product,Price,Return/Exchange,Expected Delivery,Availability,URL
111, YAMAHA Store,Yamaha PACIFICA012 Electric Guitar - Black,"15,990",7 days Replacement,"Saturday, 17 December",Only 2 left in stock.,https://www.amazon.in/Yamaha-Pacifica-PAC012-Electric-Guitar/dp/B00123DQT6/ref=sr_1_85?keywords=guitar&qid=1670921780&sr=8-85
112, Fender,Fender Squier Dreadnought Semi Acoustic Guitar Solid Top Right-Hand (Natural) CD-60 SCE NAT 0970193021 One of The Most reputed Guitar Brands in the World,"25,320",7 days Replacement,"Thursday, 15 December",In stock.,https://www.amazon.in/FENDER-CD60SCE-NAT-Dreadnought-Spruce-Semi-Acoustic/dp/B01MSBHU7X/ref=sr_1_86?keywords=guitar&qid=1670921780&sr=8-86
113, YAMAHA Store,"Yamaha FS100C Acoustic Guitar, Natural","9,389",7 days Replacement,"Thursday, 15 December",In stock.,https://www.amazon.in/Yamaha-FS100C-Acoustic-Guitar-Natural/dp/B08Z3DVN8N/ref=sr_1_87?keywords=guitar&qid=1670921780&sr=8-87
114, Intern Store,"INTERN 40 inches Acoustic Guitar with Pick-up & truss rod, carry bag, strings pack, strap & picks. Premium Wooden durable built, tonal stability with professional sound amplificaiton. (Black).","5,190",7 days Replacement,"Thursday, 15 December",In stock.,https://www.amazon.in/Acoustic-Pick-up-stability-professional-amplificaiton/dp/B09YHCR3R8/ref=sr_1_88?keywords=guitar&qid=1670921780&sr=8-88
115, YAMAHA Store,"Yamaha 16 Incheses wood Acoustic Guitar F280 Dreadnought With Mexa Sponge Bag Belt,Plectrums, String Set & Guitar StAnd (Natural)","8,780",7 days Replacement,"Friday, 16 December",In stock.,https://www.amazon.in/Acoustic-F280-Dreadnought-Plectrums-Natural/dp/B092TPXZRN/ref=sr_1_89?keywords=guitar&qid=1670921780&sr=8-89
116, Ibanez,"Ibanez MD39C-NT 39"" Cutaway Acoustic Guitar With Gig-Bag, Polishing Cloth And E-Book","8,299",7 days Replacement,"Thursday, 15 December",In stock.,https://www.amazon.in/Ibanez-MD39C-NT-Cutaway-Acoustic-Polishing/dp/B084C1DGCV/ref=sr_1_90?keywords=guitar&qid=1670921780&sr=8-90
117, YAMAHA Store,"Yamaha F280 Acoustic Guitar, Natural With Bajaao Gig Bag","8,099",7 days Replacement,"Thursday, 15 December",In stock.,https://www.amazon.in/Yamaha-Acoustic-Guitar-Natural-Bajaao/dp/B08RMP2F6Z/ref=sr_1_91?keywords=guitar&qid=1670921780&sr=8-91
118, YAMAHA Store,"Yamaha PACIFICA012 Electric Guitar, Red Metallic","13,279",Returns Policy,-,-,https://www.amazon.in/Yamaha-PAC012-Electric-Guitar-Metallic/dp/B000MLY7XS/ref=sr_1_92?keywords=guitar&qid=1670921780&sr=8-92
119, Ibanez,"Ibanez GRG170DX 40 Inches Wood Electric Guitar, Black","21,039",7 days Replacement,"Thursday, 15 December",In stock.,https://www.amazon.in/Ibanez-GRG170DX-Electric-Guitar-Black/dp/B001EM180O/ref=sr_1_93?keywords=guitar&qid=1670921780&sr=8-93
120, medellin,"Medellin 38"" Acoustic Guitar Purple Burst Carbon Fiber body+(Free Online Learning Course) - Durable Matt finish with handrest, strings, strap, bag, 3 Picks, capo, stand.","2,429",7 days Replacement,"Saturday, 17 December",In stock.,https://www.amazon.in/Medellin-Acoustic-Guitar-Purple-Learning/dp/B09MSGPQ43/ref=sr_1_94?keywords=guitar&qid=1670921780&sr=8-94
121, Pluto,Pluto HW41C-201P 41-inch Cutaway Semi-Acoustic Guitar (Black),"8,500",7 days Replacement,"Thursday, 15 December",Only 1 left in stock.,https://www.amazon.in/Pluto-HW41C-201P-41-inch-Cutaway-Semi-Acoustic/dp/B07F2QF8XG/ref=sr_1_95?keywords=guitar&qid=1670921780&sr=8-95
122, Fender,Fender CD 60 Dread V3 DS 6 String Acoustic Guitar - Walnut Fretboard-Natural,"12,531",7 days Replacement,"Thursday, 15 December",In stock.,https://www.amazon.in/Fender-Dread-String-Acoustic-Guitar/dp/B07RL6VG3H/ref=sr_1_96?keywords=guitar&qid=1670921780&sr=8-96
123, blueberry Store,"Blueberry R-701 Gray, 6 String Right Handed Beginner Full Size Rosewood Fret board Electric Guitar with Bag, Strap, One Set of Strings and 2 Picks","5,999",7 days Returnable,"Saturday, 17 December",In stock.,https://www.amazon.in/Blueberry-Beginner-Rosewood-Electric-Strings/dp/B0BLYP3Q6S/ref=sr_1_97?keywords=guitar&qid=1670921780&sr=8-97
124, Cort,Cort X100 15.75 Inches 6-String Merantiwood Electric Guitar (Black),"15,120",7 days Replacement,"Sunday, 18 December",Only 1 left in stock.,https://www.amazon.in/Cort-X100-6-String-Electric-Guitar/dp/B07QKWFTK1/ref=sr_1_98?keywords=guitar&qid=1670921780&sr=8-98
125, PRS Guitars Store,"PRS, Electric Guitar, SE Starla 2020 Series -Metallic Green RLMG","75,980",7 days Replacement,"Thursday, 15 December",Only 1 left in stock.,https://www.amazon.in/PRS-Electric-Guitar-Starla-Metallic/dp/B07ZGGQR2G/ref=sr_1_99?keywords=guitar&qid=1670921780&sr=8-99
126, Kadence Store,"Kadence 40 Incheses Frontier Series, rosewood Semi Acoustic Guitar With Die Cast Keys (Bag,Strap,Strings And 3 Picks) (own)","5,799",7 days Replacement,"Saturday, 17 December",In stock.,https://www.amazon.in/Kadence-Frontier-Acoustic-Guitar-Strings/dp/B07T48VTZ1/ref=sr_1_100?keywords=guitar&qid=1670921780&sr=8-100
127, Henrix Store,"Henrix 38C PRO 38 Inch Cutaway Acoustic Guitar With with Die-cast Tuners, Dual-action Truss Rod, Gig-Bag, Picks, String set, String Winder, Strap & Polishing Cloth - Black","3,599",7 days Replacement,"Thursday, 15 December",In stock.,https://www.amazon.in/Henrix-Cutaway-Acoustic-Die-Cast-Tuners/dp/B07KMXDXBV/ref=sr_1_101?keywords=guitar&qid=1670921780&sr=8-101
128, Epiphone,Epiphone DR-100 6 Strings Right handed Acoustic Guitar Natural,"15,200",7 days Replacement,"Thursday, 15 December",In stock.,https://www.amazon.in/Epiphone-DR-100-Acoustic-Guitar-Natural/dp/B0002D02IU/ref=sr_1_102?keywords=guitar&qid=1670921780&sr=8-102
129, JUAREZ Store,"Juârez Acoustic Guitar, 38 Inch Cutaway, JRZ38C with Bag, Strings, Pick and Strap, Blue","3,224",7 days Replacement,"Thursday, 15 December",In stock.,https://www.amazon.in/JUAREZ-JRZ38C-Handed-Acoustic-Strings/dp/B01FYYTDX6/ref=sr_1_103?keywords=guitar&qid=1670921780&sr=8-103
130, Kadence Store,"Kadence Guitar 36” Acoustica Series, Electric Acoustic Guitar, Ash Wood with Pickup and Inbuilt tuner Travel GUitar Small Size for Kids and Adult (A06 36"")","6,299",7 days Replacement,"Saturday, 17 December",In stock.,https://www.amazon.in/Kadence-ACOUSTICA-guitar-WALNUT-Acoustic/dp/B08PBKRK6L/ref=sr_1_104?keywords=guitar&qid=1670921780&sr=8-104
